booktitle=TTTTTTTTTTT;isbn=TTTTTTTTTTT;date=TTTTTTTTTT;author=TTTTTTTTTTT;publisher=TTTTTTTTTTT;quantity=1111;wholesale=1111;retail=1111;
booktitle=BBBBBBBBBBBB;isbn=BBBBBBBBBBBB;date=BBBBBBBBBB;author=BBBBBBBBBBBB;publisher=BBBBBBBBBBBB;quantity=222222;wholesale=222222;retail=222222;
booktitle=XXXXXXXXX;isbn=XXXXXXXXX;date=XXXXXXXXX;author=XXXXXXXXX;publisher=XXXXXXXXX;quantity=3333333;wholesale=3.33333e+06;retail=3.33333e+06;
booktitle=ZZZZZZZZZZZZZ;isbn=ZZZZZZZZZZZZZ;date=ZZZZZZZZZZ;author=ZZZZZZZZZZZZZ;publisher=ZZZZZZZZZZZZZ;quantity=44444;wholesale=44444;retail=44444;
booktitle=;isbn=;date=;author=;publisher=;quantity=0;wholesale=0;retail=0;
booktitle=;isbn=;date=;author=;publisher=;quantity=0;wholesale=0;retail=0;
booktitle=;isbn=;date=;author=;publisher=;quantity=0;wholesale=0;retail=0;
booktitle=;isbn=;date=;author=;publisher=;quantity=0;wholesale=0;retail=0;
booktitle=;isbn=;date=;author=;publisher=;quantity=0;wholesale=0;retail=0;
booktitle=;isbn=;date=;author=;publisher=;quantity=0;wholesale=0;retail=0;
booktitle=;isbn=;date=;author=;publisher=;quantity=0;wholesale=0;retail=0;
booktitle=;isbn=;date=;author=;publisher=;quantity=0;wholesale=0;retail=0;
booktitle=;isbn=;date=;author=;publisher=;quantity=0;wholesale=0;retail=0;
booktitle=;isbn=;date=;author=;publisher=;quantity=0;wholesale=0;retail=0;
booktitle=;isbn=;date=;author=;publisher=;quantity=0;wholesale=0;retail=0;
booktitle=;isbn=;date=;author=;publisher=;quantity=0;wholesale=0;retail=0;
booktitle=;isbn=;date=;author=;publisher=;quantity=0;wholesale=0;retail=0;
booktitle=;isbn=;date=;author=;publisher=;quantity=0;wholesale=0;retail=0;
booktitle=;isbn=;date=;author=;publisher=;quantity=0;wholesale=0;retail=0;
booktitle=;isbn=;date=;author=;publisher=;quantity=0;wholesale=0;retail=0;
